id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
5079,merged,0,7,0,7,0,20,0,20,745123.548,1,0,0,17,0,80,80,0,0,1742.464,1,53,25,0,0,0,0,0,0
5067,merged,0,2,0,2,0,1,0,1,595505.275,1,0,0,1,0,4,4,0,0,596104.853,1,49,21,0,0,0,0,0,0
5057,merged,0,10,0,10,0,9,0,9,-23.315,1,0,0,12,0,36,36,0,0,21.575,1,27,20,0,0,0,0,0,0
5056,merged,0,6,0,6,0,8,0,8,482.123,1,0,0,11,0,32,32,0,0,654.749,1,26,19,0,0,0,0,0,0
5054,merged,0,6,0,6,0,2,0,2,6961.494,1,0,0,3,0,8,8,0,0,7144.871,1,28,16,0,0,0,0,0,0
5053,merged,0,51,0,51,0,6,0,6,40327.637,1,0,0,8,0,24,24,0,0,1453.52,1,5451,5280,0,0,0,0,0,0
5050,merged,0,51,0,51,0,1,0,1,94288.733,1,0,0,7,0,4,4,0,0,94538.266,1,5451,5281,0,0,0,0,0,0
5048,merged,0,2,0,2,0,3,0,3,51434.574,1,0,0,4,0,12,12,0,0,9.168,1,3,3,0,0,0,0,0,0
5047,merged,0,1,0,1,0,1,0,1,-22.819,1,0,0,1,0,4,4,0,0,17.811,1,3,3,0,0,0,0,0,0
5046,merged,0,1,0,1,0,6,0,6,-76128.884,1,0,0,6,0,34,29,0,0,25.143,1,0,0,0,0,0,0,0,0
5045,merged,0,1,0,1,0,2,0,2,45059.597,1,0,0,2,0,8,8,0,0,7.925,1,0,0,0,0,0,0,0,0
5044,merged,0,1,0,1,0,1,0,1,-140.522,1,0,0,1,0,4,4,0,0,13.129,1,0,0,0,0,0,0,0,0
5043,merged,0,1,0,1,0,1,0,1,-20.397,1,0,0,2,0,4,4,0,0,8.137,1,0,0,0,0,0,0,0,0
5042,merged,0,1,0,1,0,1,0,1,-12.926,1,0,0,1,0,4,4,0,0,12.081,1,0,0,0,0,0,0,0,0
5040,merged,1,8,0,7,0,20,0,20,-22.79,1,0,0,8,0,76,76,0,0,55.365,1,47,1,0,0,0,0,0,0
5038,merged,1,5,0,4,0,1,0,1,14224.69,1,0,0,1,0,4,4,0,0,14744.003,1,47,1,0,0,0,0,0,0
4975,merged,0,5,0,5,0,3,0,3,53959.745,1,0,0,2,0,12,12,0,0,8.178,1,0,0,0,0,0,0,0,0
4974,merged,0,0,0,0,0,8,6,2,-1102.368,1,0,0,9,0,38,30,2,0,20.333,1,0,0,0,0,0,0,0,0
4973,merged,0,3,0,3,0,1,0,1,-11.82,1,0,0,1,0,4,4,0,0,901.998,1,0,0,0,0,0,0,0,0
4972,merged,1,1,0,0,0,1,0,1,-55.776,1,0,0,1,0,4,4,0,0,8.274,1,0,0,0,0,0,0,0,0
4970,merged,0,6,2,4,237571.726,20,1,19,-135.647,1,0,0,23,0,80,68,6,0,292.411,1,0,0,0,0,0,0,0,0
4964,merged,0,1,0,1,0,4,2,2,206880.38,1,0,0,2,0,8,4,4,0,6.563,1,2,2,0,0,0,0,0,0
4963,merged,0,1,0,1,0,1,1,0,-10.654,0,0,0,1,0,2,2,0,0,203.83,1,2,2,0,0,0,0,0,0
4962,merged,0,1,0,1,0,1,1,0,-19.643,0,0,0,2,0,2,2,0,0,128.401,1,13,8,0,0,0,0,0,0
4961,merged,0,1,0,1,0,1,1,0,-14.204,0,0,0,1,0,2,2,0,0,142.969,1,13,8,0,0,0,0,0,0
4960,merged,17,38,0,21,1215509.311,20,1,19,-184.068,1,0,0,35,0,80,38,22,0,276.522,1,989,50,0,0,0,0,0,0
4928,merged,17,30,0,13,1897288.839,9,2,7,4933388.315,1,0,0,9,0,32,18,7,0,4933684.765,1,976,38,0,0,0,0,0,0
4860,merged,0,10,0,10,86392.959,20,15,5,7085024.054,1,0,0,15,0,80,70,5,0,213.569,1,13,12,0,0,0,0,0,0
4859,merged,0,6,0,6,0,20,20,0,50357.751,0,0,0,14,0,81,80,1,0,4596.438,1,11,6,0,0,0,0,0,0
4858,merged,0,3,0,3,69170.0,20,17,3,-70.933,1,0,0,11,0,81,78,2,0,570.31,1,18,9,0,0,0,0,0,0
4857,merged,0,2,0,2,71132.276,20,16,4,-18.458,1,0,0,10,0,81,78,2,0,276.427,1,5,7,0,0,0,0,0,0
4848,merged,0,1,0,1,71132.276,20,16,4,1175472.022,1,0,0,9,0,81,78,2,0,1486.627,1,0,2,0,0,0,0,0,0
4847,merged,0,2,0,2,71132.276,13,9,4,144.759,1,0,0,7,0,52,50,1,0,591.136,1,48,18,0,0,0,0,0,0
4846,merged,0,7,0,7,0,7,7,0,126314.965,0,0,0,3,0,28,28,0,0,14.797,1,40,29,0,0,0,0,0,0
4845,merged,0,7,0,7,0,4,4,0,303199.957,0,0,0,2,0,16,16,0,0,10.474,1,35,28,0,0,0,0,0,0
4844,merged,0,7,0,7,0,1,1,0,-1345.841,0,0,0,1,0,4,4,0,0,101.468,1,34,27,0,0,0,0,0,0
4840,merged,0,14,1,13,0,9,8,1,63030.48,1,0,0,5,0,36,32,2,0,84.726,1,191,74,0,0,0,0,0,0
